,index,rec_id_1,rec_id_2,prob,Match
0,0,rec-0-org,rec-1023-org,0.0,Non-Match
1,1,rec-0-org,rec-1540-dup-1,0.0,Non-Match
2,2,rec-1-org,rec-1643-org,0.0,Non-Match
3,3,rec-1-org,rec-1986-org,0.0,Non-Match
4,4,rec-1-org,rec-41-org,0.0,Non-Match
5,5,rec-10-dup-0,rec-10-dup-2,1.0,Match
6,6,rec-10-dup-1,rec-10-dup-0,1.0,Match
7,7,rec-10-dup-1,rec-10-dup-2,1.0,Match
8,8,rec-10-org,rec-10-dup-0,1.0,Match
9,9,rec-10-org,rec-10-dup-1,1.0,Match
10,10,rec-10-org,rec-10-dup-2,1.0,Match
11,11,rec-10-org,rec-721-dup-0,0.0,Non-Match
12,12,rec-100-dup-0,rec-100-dup-1,1.0,Match
13,13,rec-100-dup-0,rec-100-dup-3,1.0,Match
14,14,rec-100-dup-2,rec-100-dup-0,1.0,Match
15,15,rec-100-dup-2,rec-100-dup-1,1.0,Match
16,16,rec-100-dup-2,rec-100-dup-3,1.0,Match
17,17,rec-100-dup-2,rec-100-org,1.0,Match
18,18,rec-100-dup-3,rec-100-dup-1,1.0,Match
19,19,rec-100-org,rec-100-dup-0,1.0,Match
20,20,rec-100-org,rec-100-dup-1,1.0,Match
21,21,rec-100-org,rec-100-dup-3,1.0,Match
22,22,rec-1000-dup-0,rec-1910-dup-0,0.0,Non-Match
23,23,rec-1000-dup-0,rec-1910-org,0.0,Non-Match
24,24,rec-1000-dup-1,rec-1000-dup-0,1.0,Match
25,25,rec-1000-dup-1,rec-1000-org,1.0,Match
26,26,rec-1000-dup-1,rec-1910-dup-0,0.0,Non-Match
27,27,rec-1000-dup-1,rec-1910-org,0.0,Non-Match
28,28,rec-1000-org,rec-1000-dup-0,1.0,Match
29,29,rec-1000-org,rec-1910-dup-0,0.0,Non-Match
30,30,rec-1000-org,rec-1910-org,0.0,Non-Match
31,31,rec-1001-dup-0,rec-1001-org,1.0,Match
32,32,rec-1002-dup-0,rec-1002-org,1.0,Match
33,33,rec-1002-dup-0,rec-406-dup-0,0.0,Non-Match
34,34,rec-1002-dup-0,rec-406-org,0.0,Non-Match
35,35,rec-1002-dup-0,rec-522-org,0.0,Non-Match
36,36,rec-1002-org,rec-522-org,0.0,Non-Match
37,37,rec-1003-org,rec-1232-dup-0,0.0,Non-Match
38,38,rec-1003-org,rec-1232-dup-2,0.0,Non-Match
39,39,rec-1003-org,rec-1232-org,0.0,Non-Match
40,40,rec-1003-org,rec-1497-org,0.0,Non-Match
41,41,rec-1003-org,rec-1671-dup-0,0.0,Non-Match
42,42,rec-1003-org,rec-1914-org,0.0,Non-Match
43,43,rec-1003-org,rec-440-org,0.0,Non-Match
44,44,rec-1004-dup-0,rec-1004-org,1.0,Match
45,45,rec-1004-dup-1,rec-1004-dup-0,1.0,Match
46,46,rec-1004-dup-1,rec-1004-org,1.0,Match
47,47,rec-1004-dup-2,rec-1004-dup-0,1.0,Match
48,48,rec-1004-dup-2,rec-1004-dup-1,1.0,Match
49,49,rec-1004-dup-2,rec-1004-org,1.0,Match
50,50,rec-1004-dup-2,rec-1690-dup-0,0.0,Non-Match
51,51,rec-1004-dup-2,rec-1690-dup-1,0.003,Non-Match
52,52,rec-1004-dup-2,rec-1690-dup-2,0.0,Non-Match
53,53,rec-1004-dup-2,rec-1690-org,0.0,Non-Match
54,54,rec-1004-dup-2,rec-1769-dup-2,0.003,Non-Match
55,55,rec-1004-dup-2,rec-1769-org,0.003,Non-Match
56,56,rec-1004-dup-2,rec-1884-org,0.0,Non-Match
57,57,rec-1004-dup-2,rec-316-dup-4,0.0,Non-Match
58,58,rec-1006-dup-0,rec-1006-dup-1,1.0,Match
59,59,rec-1006-dup-0,rec-1006-dup-2,1.0,Match
