rec_id_1,rec_id_2,prob,Match
rec-10-dup-0,rec-10-dup-2,1.0,Match
rec-10-dup-1,rec-10-dup-0,1.0,Match
rec-10-dup-1,rec-10-dup-2,1.0,Match
rec-10-org,rec-10-dup-0,1.0,Match
rec-10-org,rec-10-dup-1,1.0,Match
rec-10-org,rec-10-dup-2,1.0,Match
rec-100-dup-0,rec-100-dup-1,1.0,Match
rec-100-dup-0,rec-100-dup-3,1.0,Match
rec-100-dup-2,rec-100-dup-0,1.0,Match
rec-100-dup-2,rec-100-dup-1,1.0,Match
rec-100-dup-2,rec-100-dup-3,1.0,Match
rec-100-dup-2,rec-100-org,1.0,Match
rec-100-dup-3,rec-100-dup-1,1.0,Match
rec-100-org,rec-100-dup-0,1.0,Match
rec-100-org,rec-100-dup-1,1.0,Match
rec-100-org,rec-100-dup-3,1.0,Match
rec-1000-dup-1,rec-1000-dup-0,1.0,Match
rec-1000-dup-1,rec-1000-org,1.0,Match
rec-1000-org,rec-1000-dup-0,1.0,Match
rec-1001-dup-0,rec-1001-org,1.0,Match
rec-1002-dup-0,rec-1002-org,1.0,Match
rec-1004-dup-0,rec-1004-org,1.0,Match
rec-1004-dup-1,rec-1004-dup-0,1.0,Match
rec-1004-dup-1,rec-1004-org,1.0,Match
rec-1004-dup-2,rec-1004-dup-0,1.0,Match
rec-1004-dup-2,rec-1004-dup-1,1.0,Match
rec-1004-dup-2,rec-1004-org,1.0,Match
rec-1006-dup-0,rec-1006-dup-1,1.0,Match
rec-1006-dup-0,rec-1006-dup-2,1.0,Match
rec-1006-dup-0,rec-1006-org,1.0,Match
rec-1006-dup-1,rec-1006-org,1.0,Match
rec-1006-dup-2,rec-1006-dup-1,1.0,Match
rec-1006-dup-2,rec-1006-org,1.0,Match
rec-1007-dup-1,rec-1007-dup-0,1.0,Match
rec-1007-dup-1,rec-1007-dup-2,1.0,Match
rec-1007-dup-1,rec-1007-org,1.0,Match
rec-1007-dup-2,rec-1007-dup-0,1.0,Match
rec-1007-dup-3,rec-1007-dup-0,1.0,Match
rec-1007-dup-3,rec-1007-dup-1,1.0,Match
rec-1007-dup-3,rec-1007-dup-2,1.0,Match
rec-1007-dup-3,rec-1007-org,1.0,Match
rec-1007-org,rec-1007-dup-0,1.0,Match
rec-1007-org,rec-1007-dup-2,1.0,Match
rec-1009-dup-0,rec-1009-dup-2,1.0,Match
rec-1009-dup-0,rec-1009-org,1.0,Match
rec-1009-dup-1,rec-1009-dup-0,1.0,Match
rec-1009-dup-1,rec-1009-dup-2,1.0,Match
rec-1009-dup-1,rec-1009-org,1.0,Match
rec-1009-dup-2,rec-1009-org,1.0,Match
rec-1011-dup-0,rec-1011-dup-1,1.0,Match
rec-1011-dup-2,rec-1011-dup-0,1.0,Match
rec-1011-dup-2,rec-1011-dup-1,1.0,Match
rec-1011-dup-2,rec-1011-org,1.0,Match
rec-1011-org,rec-1011-dup-0,1.0,Match
rec-1011-org,rec-1011-dup-1,1.0,Match
rec-1012-dup-0,rec-1012-org,1.0,Match
rec-1012-dup-1,rec-1012-dup-0,1.0,Match
rec-1012-dup-1,rec-1012-org,1.0,Match
rec-1012-dup-2,rec-1012-dup-0,1.0,Match
rec-1012-dup-2,rec-1012-dup-1,1.0,Match
rec-1012-dup-2,rec-1012-org,1.0,Match
rec-1014-dup-0,rec-1014-dup-2,1.0,Match
rec-1014-dup-1,rec-1014-dup-0,1.0,Match
rec-1014-dup-1,rec-1014-dup-2,1.0,Match
rec-1014-dup-1,rec-1014-org,1.0,Match
rec-1014-org,rec-1014-dup-0,1.0,Match
rec-1014-org,rec-1014-dup-2,1.0,Match
rec-1017-org,rec-1017-dup-0,1.0,Match
rec-102-dup-0,rec-102-dup-1,1.0,Match
rec-102-dup-2,rec-102-dup-1,1.0,Match
rec-102-dup-3,rec-102-dup-0,1.0,Match
rec-102-dup-3,rec-102-dup-1,1.0,Match
rec-102-org,rec-102-dup-0,1.0,Match
rec-102-org,rec-102-dup-1,1.0,Match
rec-102-org,rec-102-dup-2,1.0,Match
rec-102-org,rec-102-dup-3,1.0,Match
rec-1021-dup-0,rec-1021-org,1.0,Match
rec-1022-dup-0,rec-1022-dup-1,1.0,Match
rec-1022-dup-0,rec-1022-dup-3,1.0,Match
rec-1022-dup-0,rec-1022-org,1.0,Match
rec-1022-dup-2,rec-1022-dup-0,1.0,Match
rec-1022-dup-2,rec-1022-dup-1,1.0,Match
rec-1022-dup-2,rec-1022-dup-3,1.0,Match
rec-1022-dup-2,rec-1022-dup-4,1.0,Match
rec-1022-dup-2,rec-1022-org,1.0,Match
rec-1022-dup-3,rec-1022-dup-1,1.0,Match
rec-1022-dup-4,rec-1022-dup-0,1.0,Match
rec-1022-dup-4,rec-1022-dup-1,1.0,Match
rec-1022-dup-4,rec-1022-dup-3,1.0,Match
rec-1022-dup-4,rec-1022-org,1.0,Match
rec-1022-org,rec-1022-dup-1,1.0,Match
rec-1022-org,rec-1022-dup-3,1.0,Match
rec-1026-dup-0,rec-1026-org,1.0,Match
rec-1026-dup-1,rec-1026-dup-0,1.0,Match
rec-1026-dup-1,rec-1026-org,1.0,Match
rec-1028-dup-1,rec-1028-org,1.0,Match
rec-1028-org,rec-1028-dup-0,1.0,Match
