rec_id_1,rec_id_2,prob
rec-0-org,rec-1023-org,0.0
rec-0-org,rec-1540-dup-1,0.0
rec-1-org,rec-1643-org,0.0
rec-1-org,rec-1986-org,0.0
rec-1-org,rec-41-org,0.0
rec-10-dup-0,rec-10-dup-2,1.0
rec-10-dup-1,rec-10-dup-0,1.0
rec-10-dup-1,rec-10-dup-2,1.0
rec-10-org,rec-10-dup-0,1.0
rec-10-org,rec-10-dup-1,1.0
rec-10-org,rec-10-dup-2,1.0
rec-10-org,rec-721-dup-0,0.0
rec-100-dup-0,rec-100-dup-1,1.0
rec-100-dup-0,rec-100-dup-3,1.0
rec-100-dup-2,rec-100-dup-0,1.0
rec-100-dup-2,rec-100-dup-1,1.0
rec-100-dup-2,rec-100-dup-3,1.0
rec-100-dup-2,rec-100-org,1.0
rec-100-dup-3,rec-100-dup-1,1.0
rec-100-org,rec-100-dup-0,1.0
rec-100-org,rec-100-dup-1,1.0
rec-100-org,rec-100-dup-3,1.0
rec-1000-dup-0,rec-1910-dup-0,0.0
rec-1000-dup-0,rec-1910-org,0.0
rec-1000-dup-1,rec-1000-dup-0,1.0
rec-1000-dup-1,rec-1000-org,1.0
rec-1000-dup-1,rec-1910-dup-0,0.0
rec-1000-dup-1,rec-1910-org,0.0
rec-1000-org,rec-1000-dup-0,1.0
rec-1000-org,rec-1910-dup-0,0.0
rec-1000-org,rec-1910-org,0.0
rec-1001-dup-0,rec-1001-org,1.0
rec-1002-dup-0,rec-1002-org,1.0
rec-1002-dup-0,rec-406-dup-0,0.0
rec-1002-dup-0,rec-406-org,0.0
rec-1002-dup-0,rec-522-org,0.0
rec-1002-org,rec-522-org,0.0
rec-1003-org,rec-1232-dup-0,0.0
rec-1003-org,rec-1232-dup-2,0.0
rec-1003-org,rec-1232-org,0.0
rec-1003-org,rec-1497-org,0.0
rec-1003-org,rec-1671-dup-0,0.0
rec-1003-org,rec-1914-org,0.0
rec-1003-org,rec-440-org,0.0
rec-1004-dup-0,rec-1004-org,1.0
rec-1004-dup-1,rec-1004-dup-0,1.0
rec-1004-dup-1,rec-1004-org,1.0
rec-1004-dup-2,rec-1004-dup-0,1.0
rec-1004-dup-2,rec-1004-dup-1,1.0
rec-1004-dup-2,rec-1004-org,1.0
rec-1004-dup-2,rec-1690-dup-0,0.0
rec-1004-dup-2,rec-1690-dup-1,0.003
rec-1004-dup-2,rec-1690-dup-2,0.0
rec-1004-dup-2,rec-1690-org,0.0
rec-1004-dup-2,rec-1769-dup-2,0.003
rec-1004-dup-2,rec-1769-org,0.003
rec-1004-dup-2,rec-1884-org,0.0
rec-1004-dup-2,rec-316-dup-4,0.0
rec-1006-dup-0,rec-1006-dup-1,1.0
rec-1006-dup-0,rec-1006-dup-2,1.0
rec-1006-dup-0,rec-1006-org,1.0
rec-1006-dup-1,rec-1006-org,1.0
rec-1006-dup-2,rec-1006-dup-1,1.0
rec-1006-dup-2,rec-1006-org,1.0
rec-1007-dup-1,rec-1007-dup-0,1.0
rec-1007-dup-1,rec-1007-dup-2,1.0
rec-1007-dup-1,rec-1007-org,1.0
rec-1007-dup-2,rec-1007-dup-0,1.0
